labels,capacities
32B,185
738,165
319,128
321,185
320,150
Airbus A319,128
Boeing 737-800,165
Boeing 757-200,180
Boeing 737-900,180
Airbus A320,150
Boeing 777-200,270
Boeing 757-300,230
Boeing 787-8 Dreamliner,235
Boeing 737-700,126
Boeing 737-900ER,180
Boeing 757,180
Boeing 777-200LR,280
Airbus A321,185
Boeing 767-300,200
Airbus A220-100,105
MD-88,150
Boeing 717-200,110
MD-90,150
