flightn,airline,dep_time,dep_port,arr_time,arr_port,craft_type
UA0816,United Airlines,1:45 PM,SEA,3:59 PM,SFO,Boeing 737-800
UA2294,United Airlines,4:15 PM,SEA,6:30 PM,SFO,Boeing 737-800
UA0214,United Airlines,6:36 PM,SEA,8:50 PM,SFO,Airbus A320
UA2074,United Airlines,7:28 PM,SEA,9:45 PM,SFO,Airbus A320
UA0590,United Airlines,6:20 AM,SEA,10:02 AM,DEN,Airbus A320
UA1462,United Airlines,7:28 AM,SEA,11:10 AM,DEN,Boeing 737-900
UA0738,United Airlines,12:26 PM,SEA,4:12 PM,DEN,Boeing 737-900
UA1413,United Airlines,3:56 PM,SEA,7:37 PM,DEN,Airbus A320
UA0714,United Airlines,12:30 AM,SEA,6:24 AM,ORD,Boeing 737-900
UA0278,United Airlines,10:55 AM,SEA,4:59 PM,ORD,Boeing 737-800
UA0670,United Airlines,2:05 PM,SEA,7:59 PM,ORD,Boeing 737-800
UA0419,United Airlines,8:15 AM,SEA,4:08 PM,IAD,Boeing 737-900
UA2362,United Airlines,7:50 AM,DEN,9:41 AM,SFO,Boeing 757-300
UA0268,United Airlines,9:34 AM,DEN,11:25 AM,SFO,Boeing 757-300
UA0243,United Airlines,11:20 AM,DEN,1:11 PM,SFO,Boeing 757-300
UA1478,United Airlines,1:40 PM,DEN,3:34 PM,SFO,Boeing 737-900
UA1723,United Airlines,2:46 PM,DEN,4:40 PM,SFO,Boeing 737-900
UA0735,United Airlines,4:15 PM,DEN,6:04 PM,SFO,Boeing 787-8 Dreamliner
UA0737,United Airlines,5:15 PM,DEN,7:11 PM,SFO,Boeing 737-800
UA0257,United Airlines,7:10 PM,DEN,9:04 PM,SFO,Boeing 757-300
UA2273,United Airlines,9:40 AM,DEN,11:47 AM,PHX,Boeing 737-900
UA0970,United Airlines,1:42 PM,DEN,3:43 PM,PHX,Airbus A320
UA2249,United Airlines,4:02 PM,DEN,6:03 PM,PHX,Airbus A320
UA0594,United Airlines,7:05 PM,DEN,9:08 PM,PHX,Boeing 737-900
UA2309,United Airlines,7:51 AM,DEN,10:02 AM,SEA,Boeing 737-800
UA0339,United Airlines,9:20 AM,DEN,11:30 AM,SEA,Boeing 737-900
UA0948,United Airlines,3:40 PM,DEN,5:47 PM,SEA,Airbus A320
UA2223,United Airlines,7:11 PM,DEN,9:22 PM,SEA,Boeing 737-900
UA0304,United Airlines,8:06 AM,DEN,1:00 PM,ATL,Airbus A319
UA0307,United Airlines,10:53 AM,DEN,3:47 PM,ATL,Airbus A320
